league,squad_difference,num_winners,squad_average,internationals,points_difference
0,1319,6,611,7,75
1,149,2,35,3,68
2,6,8,3,1,37
3,408,3,101,5,67
4,1319,4,293,7,74
5,561,4,270,8,56
6,74,3,40,3,48
7,222,5,42,4,46
8,926,6,272,8,73
9,80,4,22,4,60
10,36,8,18,2,39
11,22,5,11,1,61
12,5,6,14,1,53
13,12,6,9,2,42
14,118,3,36,1,73
15,11,6,6,1,57
16,5,6,4,0,43
17,4,8,5,0,36
18,125,4,37,3,57
19,90,2,23,2,78
20,4,8,5,0,36
21,57,5,15,1,65
22,32,8,18,1,43
23,16,4,6,1,32
24,243,6,66,4,86
25,193,2,32,2,48
26,11,5,6,1,50
27,10,5,5,0,41
28,12,7,5,1,65
29,3,6,4,0,72
30,35,7,13,2,39
31,41,9,17,3,42
32,13,7,5,1,37
33,162,6,81,5,47
34,359,5,92,5,72
35,959,7,242,6,51
36,89,5,39,2,43
37,29,5,12,1,61
38,13,5,9,1,57
39,19,5,12,3,55
40,4,5,2,1,41
41,16,7,10,1,37
42,6,5,5,1,55
43,2,3,1,1,70
44,2,5,3,1,73
45,12,11,8,0,48
46,3,5,2,0,60
47,74,13,46,5,53
